school,sex,age,Pstatus,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,por_absences,por_G1,por_G2,por_G3,mat_absences,mat_G1,mat_G2,mat_G3
MS,M,18,T,1,1,2,1,0,3,3,2,1,2,3,2,14,13,14,4,10,10,10
MS,F,18,T,1,1,2,3,0,5,3,2,1,1,4,0,19,17,18,0,18,16,16
MS,F,18,T,3,3,2,2,0,4,3,2,1,3,3,6,13,12,13,0,11,11,10
MS,F,17,T,4,4,1,2,0,2,3,4,1,1,1,4,15,14,15,0,16,15,15
MS,F,17,T,1,2,2,2,0,3,2,2,1,2,3,0,13,13,13,0,12,11,12
MS,M,18,T,1,3,2,2,0,3,3,4,2,4,3,0,8,10,9,4,10,10,10
MS,M,18,T,4,4,2,3,0,4,2,2,2,2,5,0,15,16,16,0,13,13,13
MS,F,17,T,1,1,3,1,1,5,2,1,1,2,1,0,8,8,9,0,7,6,0
MS,F,18,T,2,3,2,1,0,5,2,3,1,2,4,0,10,10,10,0,11,10,10
MS,F,18,T,4,4,3,2,0,3,2,2,4,2,5,0,7,5,0,10,14,12,11
MS,M,18,T,1,2,3,1,0,4,3,3,2,3,3,3,9,10,10,3,14,12,12
MS,F,17,T,2,2,1,3,0,3,4,3,1,1,3,8,10,11,12,8,13,11,11
MS,F,17,T,1,2,1,1,0,3,5,5,1,3,1,4,7,8,9,14,6,5,5
MS,F,18,T,4,4,2,3,0,5,4,4,1,1,1,0,15,17,17,0,19,18,19
MS,F,18,T,1,1,4,3,0,4,3,2,1,2,4,4,10,11,12,2,8,8,10
MS,F,18,T,4,4,1,2,0,5,4,3,3,4,2,1,13,14,14,4,8,9,10
MS,F,18,T,3,3,1,2,0,4,1,3,1,2,1,1,16,16,16,0,15,15,15
MS,F,17,T,3,1,1,2,0,4,5,4,2,3,1,10,8,9,9,17,10,10,10
MS,M,18,T,4,4,1,2,0,3,2,4,1,4,2,4,17,18,19,4,15,14,14
MS,M,18,T,2,1,2,1,0,4,4,3,1,3,5,0,7,7,0,5,7,6,7
MS,M,17,T,2,3,2,2,0,4,4,3,1,1,3,4,14,15,16,2,11,11,10
MS,M,19,T,1,1,2,1,1,4,3,2,1,3,5,0,5,8,0,0,6,5,0
MS,M,18,T,4,2,2,1,1,5,4,3,4,3,3,0,7,7,0,14,6,5,5
MS,F,18,T,2,2,2,3,0,5,3,3,1,3,4,0,14,17,15,2,10,9,10
MS,F,18,T,4,4,3,1,0,4,4,3,2,2,5,4,7,9,10,7,6,5,6
MS,F,19,T,2,3,1,3,1,5,4,2,1,2,5,4,10,11,10,0,7,5,0
MS,F,18,T,3,1,1,2,0,4,3,4,1,1,1,4,15,15,16,0,7,9,8
MS,M,17,T,3,1,2,1,0,2,4,5,3,4,2,6,10,10,10,3,14,16,16
MS,M,18,T,3,2,3,1,0,4,4,1,3,4,5,4,10,11,11,0,11,12,10
